E,F,L,A,dL,materials,mat
0.054,37189,6,6258,660.2926032456234,고무,1
0.09,38279,9,6802,562.7609526609821,고무,1
0.099,13264,7,5257,178.4018614910759,고무,1
0.059000000000000004,23816,3,8580,141.1402157164869,고무,1
0.091,28031,7,8606,250.5497059296734,고무,1
0.003,22262,5,3039,12209.059997806295,고무,1
0.002,36047,9,1643,98728.8496652465,고무,1
0.089,36049,2,5714,141.77281897802754,고무,1
0.026000000000000002,21561,5,8618,481.126265240909,고무,1
0.061,12591,9,8876,209.29343449641323,고무,1
0.016,15250,4,9933,383.8216047518373,고무,1
0.007,5620,6,8604,559.872484558677,고무,1
0.044,6970,5,9867,80.27216525240242,고무,1
0.058,19545,1,828,406.984007996002,고무,1
0.059000000000000004,34055,5,1584,1821.9803971922615,고무,1
0.082,27312,1,4090,81.43598306398712,고무,1
0.052000000000000005,37298,7,4605,1090.3115342854755,고무,1
0.07200000000000001,33741,1,4525,103.5635359116022,고무,1
0.081,139,5,5227,1.6415241847293374,고무,1
0.008,31858,9,4185,8563.978494623654,고무,1
0.081,10916,6,2792,289.610527432877,고무,1
0.065,26302,1,2266,178.57288342725238,고무,1
0.046,24209,7,7769,474.18950455265355,고무,1
0.084,10302,4,7783,63.031148473779844,고무,1
0.082,6265,5,6050,63.14251159040516,고무,1
0.064,21760,2,1664,408.65384615384613,고무,1
0.076,17197,7,3601,439.85954194010435,고무,1
0.016,14250,5,2119,2101.521944313355,고무,1
0.088,996,6,5244,12.949864780528397,고무,1
0.045,35806,6,4834,987.6155013101641,고무,1
0.084,24582,4,8953,130.74627818289161,고무,1
0.045,17126,7,3642,731.4784306547075,고무,1
0.07,18441,4,7935,132.8004320820956,고무,1
0.007,39232,3,3241,5187.816811389783,고무,1
0.067,16164,9,4112,528.0358905859806,고무,1
0.047,10869,5,5650,204.65072491056299,고무,1
0.05,13258,4,844,1256.6824644549763,고무,1
0.063,18281,3,4303,202.30625366577027,고무,1
0.041,24099,7,1347,3054.538540931066,고무,1
0.031,24978,7,2626,2147.826941503083,고무,1
0.088,15946,7,6662,190.39805136322698,고무,1
0.053,9684,4,2423,301.6376081420974,고무,1
0.004,3522,3,2381,1109.407811843763,고무,1
0.035,3001,4,5788,59.25560272484944,고무,1
0.08,23875,3,8942,100.12441288302394,고무,1
0.051000000000000004,15577,2,3990,153.0984323553983,고무,1
0.075,9350,5,5267,118.34694006708438,고무,1
0.076,30394,9,3507,1026.3157894736844,고무,1
0.03,29959,2,6107,327.045466950494,고무,1
0.063,1626,9,9228,25.171837265465353,고무,1
0.093,23282,5,2223,563.0771165575919,고무,1
0.055,29,5,9975,0.2642971064023696,고무,1
0.049,37860,2,1716,900.5280433851862,고무,1
0.08,398,1,9076,0.5481489643014543,고무,1
0.007,33488,4,3067,6239.32181284643,고무,1
0.061,30743,4,6241,323.0146492917014,고무,1
0.048,3927,7,2309,248.024036379385,고무,1
0.028,21204,1,3627,208.7912087912088,고무,1
0.033,34005,1,3000,343.4848484848485,고무,1
0.053,27035,3,5837,262.1694395867611,고무,1
0.032,5058,9,9095,156.41148982957668,고무,1
0.068,14089,3,523,1188.4771116859745,고무,1
0.024,12000,3,8090,185.4140914709518,고무,1
0.083,13980,3,3036,166.43649697604647,고무,1
0.055,29238,1,3821,139.12588327662917,고무,1
0.079,5063,5,6124,52.325773673201105,고무,1
0.017,15545,2,9732,187.91857063417226,고무,1
0.036000000000000004,7830,8,9285,187.3990306946688,고무,1
0.091,25894,4,2718,418.76298829941214,고무,1
0.009000000000000001,7724,1,5571,154.05173617343783,고무,1
0.05,480,3,2747,10.48416454313797,고무,1
0.065,7394,8,9464,96.1570973405293,고무,1
0.028,20554,8,6454,909.9119040240824,고무,1
0.074,35227,1,8350,57.01084317850785,고무,1
0.069,37220,6,2567,1260.8187530699004,고무,1
0.048,26876,5,2015,1389.3713813068653,고무,1
0.055,192,9,5984,5.250364608653379,고무,1
0.08600000000000001,36152,6,6560,384.4866704480998,고무,1
0.081,8977,1,4035,27.466458610613916,고무,1
0.024,17850,2,1942,765.9629248197733,고무,1
0.044,14977,7,6933,343.6758323171132,고무,1
0.05,19567,2,232,3373.620689655172,고무,1
0.013000000000000001,9726,3,2740,819.1465468837731,고무,1
0.051000000000000004,22229,7,9994,305.2870938249224,고무,1
0.093,3578,5,2393,80.38679122350584,고무,1
0.047,31397,7,6854,682.251084938753,고무,1
0.009000000000000001,29733,2,8198,805.9689355127266,고무,1
0.033,37827,9,2251,4583.053996203707,고무,1
0.017,35597,8,3779,4432.794234391295,고무,1
0.076,36601,6,7330,394.2090902563366,고무,1
0.062,23930,8,167,18489.47266756809,고무,1
0.038,17525,6,5484,504.57791086030176,고무,1
0.08700000000000001,4707,4,632,342.4268878219118,고무,1
0.025,17535,2,2979,470.8962739174219,고무,1
0.07200000000000001,27475,1,6793,56.17506583574594,고무,1
0.017,6119,1,6425,56.021972991531236,고무,1
0.044,18597,9,8916,426.64107426893435,고무,1
0.061,24860,3,2638,463.4658646018469,고무,1
0.092,32717,9,3581,893.7660114371745,고무,1
0.042,36996,4,8922,394.91465718769007,고무,1
0.056,20990,1,6071,61.73965221074429,고무,1
0.065,39129,2,5587,215.49476119012542,고무,1
0.023,33071,5,4914,1463.0337456424413,고무,1
0.088,6259,4,7666,37.11192277589356,고무,1
0.089,7670,2,8351,20.639390559429742,고무,1
0.006,30915,9,9052,5122.901016349978,고무,1
0.005,12131,2,6166,786.9607525137852,고무,1
0.029,2925,1,4104,24.576527525710826,고무,1
0.076,26982,8,2405,1180.960717802823,고무,1
0.025,15651,4,9164,273.2605848974247,고무,1
0.096,15400,9,7551,191.19984108065154,고무,1
0.059000000000000004,15641,2,3239,163.69354425146912,고무,1
0.07,37056,4,5797,365.2726779861504,고무,1
0.038,12742,3,8778,114.59869770119079,고무,1
0.07100000000000001,33566,3,5607,252.94840202262262,고무,1
0.076,35852,8,5642,668.893076363365,고무,1
0.057,30376,3,8650,184.82506845147552,고무,1
0.065,32109,3,2459,602.6652485375544,고무,1
0.008,17261,8,6282,2747.691817892391,고무,1
0.014,6523,6,8314,336.2486683391182,고무,1
0.008,18304,8,7263,2520.170728349167,고무,1
0.038,17474,8,5820,632.0853680593236,고무,1
0.07100000000000001,2643,7,2777,93.83416088899257,고무,1
0.017,18540,1,5914,184.40788557560325,고무,1
0.051000000000000004,22927,4,3968,453.1744149272612,고무,1
0.063,19946,5,171,9257.402766174697,고무,1
0.073,36633,6,9342,322.30052524612665,고무,1
0.065,17300,5,9633,138.14691485199117,고무,1
0.043000000000000003,25274,7,3511,1171.8519205420837,고무,1
0.035,14126,7,8239,342.9056924384027,고무,1
0.053,2997,7,3644,108.62518898991362,고무,1
0.025,21812,7,8163,748.1759157172608,고무,1
0.006,34791,8,3046,15229.152987524623,고무,1
0.077,10310,6,6586,121.98248153304333,고무,1
0.036000000000000004,28419,9,9129,778.2615839631941,고무,1
0.056,24457,9,8981,437.65608347781824,고무,1
0.023,16696,8,6817,851.8856311905658,고무,1
0.07,27591,6,6054,390.64137052244087,고무,1
0.065,33284,5,1475,1735.8018252933507,고무,1
0.046,38168,5,8896,466.35517672818264,고무,1
0.033,21623,1,4880,134.27098857426725,고무,1
0.055,28604,2,5671,183.41482182074668,고무,1
0.041,29211,3,9646,221.58306488725265,고무,1
0.089,23360,4,501,2095.5841126735295,고무,1
0.021,8015,8,9431,323.75499240094723,고무,1
0.098,25148,8,6862,299.1690409769271,고무,1
0.026000000000000002,31791,4,9610,508.9410069638998,고무,1
0.01,3255,2,5817,111.91335740072202,고무,1
0.032,16260,8,5511,737.6156777354382,고무,1
0.053,18796,7,6525,380.458324296971,고무,1
0.019,32880,5,7506,1152.7620009255752,고무,1
0.05,1771,1,8919,3.971297230631236,고무,1
0.056,34512,7,467,9237.687366167023,고무,1
0.028,14299,7,8683,411.6952666129218,고무,1
0.078,30785,6,5017,472.0105487496358,고무,1
0.045,25684,4,8938,255.42875612242364,고무,1
0.062,21825,4,5317,264.82311757175705,고무,1
0.003,11430,7,7015,3801.8531717747683,고무,1
0.082,11420,1,5656,24.623106909994135,고무,1
0.083,5229,1,6454,9.761388286334055,고무,1
0.038,37369,7,9167,750.9286743639944,고무,1
0.074,26497,5,8289,215.9896052404196,고무,1
0.043000000000000003,7255,7,9610,122.89765989884567,고무,1
0.037,28742,7,5424,1002.521326636371,고무,1
0.036000000000000004,27955,4,3617,858.753417503763,고무,1
0.026000000000000002,11732,3,7562,179.01247126319856,고무,1
0.08,32468,7,8748,324.75422953818014,고무,1
0.089,5388,4,4793,50.52311774896443,고무,1
0.081,24061,2,7393,80.35963281916662,고무,1
0.078,39317,7,4526,779.595386201661,고무,1
0.069,21609,5,3304,473.9314664701547,고무,1
0.012,15957,8,6668,1595.3809238152369,고무,1
0.075,29565,3,1036,1141.5057915057914,고무,1
0.089,22663,5,3288,387.22696082451677,고무,1
0.077,31209,3,2516,483.28102739867444,고무,1
0.076,16526,5,4989,217.92680739732677,고무,1
0.014,35210,1,2515,1000.0,고무,1
0.011,24448,8,6363,2794.3365765147946,고무,1
0.043000000000000003,30412,9,9518,668.7646906473412,고무,1
0.054,36421,2,9745,138.42236284514377,고무,1
0.036000000000000004,25846,8,8567,670.4278692139086,고무,1
0.032,12010,5,5587,335.8801682477179,고무,1
0.021,23422,2,4805,464.2386403052376,고무,1
0.047,11614,7,2776,623.1068735054264,고무,1
0.049,18285,8,7624,391.5669100798766,고무,1
0.076,16939,5,3616,308.18802398695857,고무,1
0.07,39573,5,6796,415.9274363070714,고무,1
0.07,2237,7,5373,41.63409640796576,고무,1
0.028,2883,8,8631,95.43671483191817,고무,1
0.053,28549,1,4867,110.67605863129046,고무,1
0.066,27103,3,6035,204.1349702493033,고무,1
0.066,27372,7,2113,1373.9190293851912,고무,1
0.016,24414,6,5332,1717.0386346586647,고무,1
0.01,5023,3,6232,241.80038510911425,고무,1
0.07,38698,4,2162,1022.8095678604467,고무,1
0.009000000000000001,38865,8,7530,4587.870739265161,고무,1
0.005,26440,5,8247,3206.014308233297,고무,1
0.029,22046,5,3836,990.8849016576175,고무,1
0.08600000000000001,25927,2,5246,114.93585367367383,고무,1
0.091,36738,6,176,13762.987012987014,고무,1
0.031,30192,3,453,6449.903866695151,고무,1
0.028,20436,8,4629,1261.3646884547727,고무,1
0.063,12454,9,3237,549.6270797475617,고무,1
0.057,1501,4,9997,10.536494281617818,고무,1
0.08700000000000001,34084,3,5284,222.42815004307081,고무,1
0.068,14634,9,7561,256.16359491819475,고무,1
0.083,33334,9,3050,1185.09184278096,고무,1
0.079,29835,5,5476,344.83037604830287,고무,1
0.046,30915,4,7485,359.1530887862682,고무,1
0.022,27655,5,6607,951.2982098875849,고무,1
0.029,2156,6,1941,229.81399562969673,고무,1
0.07100000000000001,26042,6,6449,341.25172807663154,고무,1
0.098,15445,6,1941,487.1778696022458,고무,1
0.014,31408,1,2660,843.3941997851772,고무,1
0.045,36751,3,8325,294.3023023023023,고무,1
0.034,24996,2,8825,166.6122312947842,고무,1
0.033,27198,8,3780,1744.3001443001442,고무,1
0.006,37964,1,3721,1700.438950103019,고무,1
0.076,29496,2,665,1167.233874159082,고무,1
0.064,14003,9,93,21173.891129032258,고무,1
0.099,37732,1,9672,39.40563617982973,고무,1
0.063,25060,6,7976,299.23102641257105,고무,1
0.005,11292,7,57,277347.3684210526,고무,1
0.085,32409,4,8446,180.57416667827442,고무,1
0.003,24557,2,1940,8438.831615120274,고무,1
0.004,37105,2,2535,7318.540433925049,고무,1
